filename,filepath,filesize,date_obs,date_end,ra,dec,instrument,telescope
L2603311255089B9590BF64_PH00.fits,data/fits/raw/L2603311255089B9590BF64_PH00.fits,528920,2014-09-01T10:50:00.0000,2014-09-01T11:30:00.0000,,,LAT,GLAST
L2603311255089B9590BF64_SC00.fits,data/fits/raw/L2603311255089B9590BF64_SC00.fits,37813,2014-09-01T10:50:00.0000,2014-09-01T11:30:00.0000,,,LAT,GLAST
L2604021201389C9590BF63_PH00.fits,data/fits/raw/L2604021201389C9590BF63_PH00.fits,149760,2011-09-06T22:10:50.0000,2011-09-06T22:47:10.0000,,,LAT,GLAST
L2604021201389C9590BF63_SC00.fits,data/fits/raw/L2604021201389C9590BF63_SC00.fits,31680,2011-09-06T22:10:50.0000,2011-09-06T22:47:10.0000,,,LAT,GLAST
L2604021204279C9590BF75_PH00.fits,data/fits/raw/L2604021204279C9590BF75_PH00.fits,1301760,2012-03-07T00:39:49.9999,2012-03-07T01:20:10.0000,,,LAT,GLAST
L2604021204279C9590BF75_SC00.fits,data/fits/raw/L2604021204279C9590BF75_SC00.fits,31680,2012-03-07T00:39:49.9999,2012-03-07T01:20:10.0000,,,LAT,GLAST
L2604021212529C9590BF63_PH00.fits,data/fits/raw/L2604021212529C9590BF63_PH00.fits,590400,2012-03-07T03:50:49.9999,2012-03-07T04:31:10.0000,,,LAT,GLAST
L2604021212529C9590BF63_SC00.fits,data/fits/raw/L2604021212529C9590BF63_SC00.fits,31680,2012-03-07T03:50:49.9999,2012-03-07T04:31:10.0000,,,LAT,GLAST
L2604021230419C9590BF10_PH00.fits,data/fits/raw/L2604021230419C9590BF10_PH00.fits,385920,2012-03-07T07:01:49.9999,2012-03-07T07:42:10.0000,,,LAT,GLAST
L2604021230419C9590BF10_SC00.fits,data/fits/raw/L2604021230419C9590BF10_SC00.fits,31680,2012-03-07T07:01:49.9999,2012-03-07T07:42:10.0000,,,LAT,GLAST
L2604021231609C9590BF98_PH00.fits,data/fits/raw/L2604021231609C9590BF98_PH00.fits,115200,2012-03-07T10:13:49.9999,2012-03-07T10:54:10.0000,,,LAT,GLAST
L2604021231609C9590BF98_SC00.fits,data/fits/raw/L2604021231609C9590BF98_SC00.fits,28800,2012-03-07T10:13:49.9999,2012-03-07T10:54:10.0000,,,LAT,GLAST
